month,year,upi_volume_mn,upi_value_cr,avg_ticket_size,vol_mom_growth,festival
May,2020,1234.5,218391.59,1769.07,23.5,Eid-ul-Fitr
Oct,2019,1148.36,191359.94,1666.38,20.24,Diwali
Mar,2022,5405.65,960581.69,1777.0,19.4,Holi
Mar,2021,2731.68,504886.44,1848.26,19.14,Holi
Jul,2021,3247.82,606281.12,1866.73,15.68,No Festival
Oct,2021,4218.65,771445.0,1828.65,15.44,Navaratri
Mar,2023,8685.3,1410443.0,1623.94,15.27,Holi
Oct,2020,2071.62,386106.75,1863.79,15.08,Navaratri
Mar,2025,18301.51,2477221.5,1353.56,13.63,Holi
Jul,2020,1497.36,290537.88,1940.33,12.0,No Festival
