date,month,year,upi_volume_mn,upi_value_cr,festival,is_festive,vol_mom_growth,vol_yoy_growth,avg_ticket_size,vol_3m_avg,psi_score
2019-04-01,Apr,2019,781.79,142034.39,,0,,,1816.7844306015686,,
2019-05-01,May,2019,733.54,152449.29,,0,-6.171734097391878,,2078.268260762876,,
2019-06-01,Jun,2019,754.54,146566.35,Eid-ul-Fitr,1,2.862829566213154,,1942.4596442865852,756.6233333333333,
2019-07-01,Jul,2019,822.29,146386.64,,0,8.978980570943884,,1780.2313052572697,770.1233333333333,
2019-08-01,Aug,2019,918.35,154504.89,Raksha Bandhan,1,11.682009996473264,,1682.4183590134483,831.7266666666666,
2019-09-01,Sep,2019,955.02,161456.56,Navaratri,1,3.993030979474055,,1690.609201901531,898.5533333333333,73.25103743644654
2019-10-01,Oct,2019,1148.36,191359.94,Diwali,1,20.244602207283613,,1666.3758751610992,1007.2433333333333,77.9335612490214
2019-11-01,Nov,2019,1218.77,189229.09,,0,6.131352537531787,,1552.6234646405803,1107.3833333333334,79.08065840215684
2019-12-01,Dec,2019,1308.4,202520.76,Christmas,1,7.354135727003452,,1547.8505044328951,1225.1766666666667,73.82317504702978
2020-01-01,Jan,2020,1305.02,216242.97,,0,-0.25833078569246215,,1657.0088581017915,1277.3966666666668,40.90300530701643
2020-02-01,Feb,2020,1325.69,222516.95,,0,1.5838837718962218,,1678.4991212123498,1313.0366666666666,33.30423468880277
2020-03-01,Mar,2020,1246.84,206462.31,Holi,1,-5.947846027351799,,1655.8845561579674,1292.5166666666667,20.957586906437797
2020-04-01,Apr,2020,999.57,151140.66,,0,-19.831734625132324,27.85658552808301,1512.0567844172995,1190.7,32.28083162453768
2020-05-01,May,2020,1234.5,218391.6,Eid-ul-Fitr,1,23.503106335724368,68.29348092810208,1769.0692588092345,1160.3033333333333,32.18512626181061
2020-06-01,Jun,2020,1336.93,261835.0,,0,8.297286350749289,77.18477482969759,1958.4795015445834,1190.3333333333333,39.17010246202901
2020-07-01,Jul,2020,1497.36,290537.86,,0,11.99988032282915,82.09634070704983,1940.3340546027675,1356.2633333333333,43.40770203408263
2020-08-01,Aug,2020,1618.83,298307.61,Raksha Bandhan,1,8.112277608591123,76.27592965644905,1842.735864791238,1484.3733333333332,50.74062042396967
2020-09-01,Sep,2020,1800.14,329027.66,,0,11.200064243929276,88.4923875939771,1827.789283055762,1638.7766666666666,53.874751293329545
